All Racers - ELO and License Report
Generated on: 2025-10-04 15:35:26
====================================================================================================

Rank   Name                                License         ELO        Steam GUID
282    TheDutchSteww                       Rookie          1522       76561199643257651
283    Valentinツ                           Rookie          1521       76561198307476555
284    Egodius                             Rookie          1521       76561198932104112
285    Joe Martin                          Rookie          1521       76561199204816229
286    trapitx                             Rookie          1521       76561198002090430
287    proaxiscockpit1                     Rookie          1520       76561199477909897
288    Lee                                 Rookie          1520       76561198104776684
289    Greddy2die                          Rookie          1520       76561198166373889
290    3batzz._                            Rookie          1520       76561199014135952
291    Player                              Rookie          1520       76561199759073724
292    Jasen Rothe                         Rookie          1520       76561198280394901
293    Shane Rose                          Rookie          1519       76561198986985192
294    Yuxri_                              Rookie          1519       76561199103752329
295    FASTANDFURIOUS                      C               1519       76561198035874169
296    👮 | Muchacho_AC | 👮                 Rookie          1519       76561198125402844
297    9000                                Rookie          1519       76561198207659588
298    Player                              Rookie          1519       76561198893650464
299    Rmlahud                             Rookie          1519       76561198354320937
300    Leon                                Rookie          1519       76561199069473055
301    Paul Kirn                           Rookie          1519       76561199062772620
302    peybs                               Rookie          1519       76561199191933748
303    fabii22                             Rookie          1518       76561198815927546
304    Grello48                            Rookie          1518       76561199436508024
305    foffles105                          C               1518       76561198350077966
306    Le Doge                             Rookie          1518       76561198220590268
307    Socks!                              Rookie          1518       76561198119776708
308    Dark Lounge                         D               1518       76561198040631272
309    Killerkartoffel                     C               1518       76561198170363978
310    Rigertas Sazanskis                  Rookie          1518       76561199263171993
311    James E                             C               1518       76561199069083784
312    Baljeet                             Rookie          1517       76561198301425062
313    cr0wley13                           Rookie          1517       76561198968277103
314    Lich King                           C               1517       76561198301613804
315    B3Ice                               Rookie          1517       76561198236387592
316    a-12                                Rookie          1517       76561199487211522
317    pork_rib                            Rookie          1517       76561198362542552
318    ☩ Team Emperor | Benji              Rookie          1517       76561198827117789
319    Marmlo                              Rookie          1517       76561198209231325
320    eduardo                             Rookie          1516       76561198056917462
321    Kamil Dziadek                       Rookie          1516       76561198026746239
322    KiPlaY                              Rookie          1516       76561198974939251
323    moonunit42                          Rookie          1516       76561198044993880
324    Nickodicko, WooHooMan43             Rookie          1516       76561198360326108;76561198979459890
325    GiantLeap                           Rookie          1516       76561198137455959
326    PCdrift                             Rookie          1515       76561198070050689
327    Antonin                             Rookie          1515       76561199137992020
328    antho                               Rookie          1515       76561198163643173
329    Emacx                               Rookie          1515       76561198141563612
